osm_id,highway,lanes,maxspeed,name,oneway,WKT
"6002","residential","nan","nan","Lima","nan","LINESTRING (-77.0560619 -11.9712273, -77.0561302 -11.9716017)"
"6003","residential","nan","nan","San Martin de Porres","nan","LINESTRING (-77.0560619 -11.9712273, -77.0551904 -11.971487)"
"6004","residential","nan","nan","Ramon Castilla","nan","LINESTRING (-77.0548618 -11.9653359, -77.0543421 -11.9655039)"
"6005","residential","nan","nan","13 de Diciembre","nan","LINESTRING (-77.0548618 -11.9653359, -77.0550305 -11.9658539)"
"6006","residential","nan","nan","Huascar","nan","LINESTRING (-77.0534142 -11.964404, -77.0534877 -11.9646245)"
"6007","residential","nan","nan","['Jirón 1 de Mayo', 'Jose Olaya']","nan","LINESTRING (-77.0534142 -11.964404, -77.054011 -11.9644583)"
"6008","residential","nan","nan","Pasaje Atahualpa","nan","LINESTRING (-77.053796 -11.9665996, -77.0541398 -11.966204)"
"6009","residential","nan","nan","Bolognesi","nan","LINESTRING (-77.0563571 -11.9732432, -77.0568726 -11.9728822)"
"601","residential","nan","nan","Las Petunias","nan","LINESTRING (-77.0418669 -11.9123463, -77.0420322 -11.9130752)"
"6010","secondary","2","45","Avenida San Felipe","yes","LINESTRING (-77.0341806 -11.9084769, -77.0342395 -11.9083781)"
"6011","residential","nan","nan","Jirón Antunez de Mayolo","nan","LINESTRING (-77.0330171 -11.9086126, -77.0327087 -11.9078597)"
"6012","residential","nan","nan","Jirón Faustino Sánchez Carrión","nan","LINESTRING (-77.033235 -11.9092627, -77.0330202 -11.909642)"
"6013","residential","nan","nan","Pasaje Mariano Melgar","nan","LINESTRING (-77.033235 -11.9092627, -77.0330171 -11.9086126)"
"6014","residential","nan","nan","Jirón Faustino Sánchez Carrión","nan","LINESTRING (-77.0330202 -11.909642, -77.0319217 -11.91107)"
"6015","residential","nan","nan","Calle 9 de Octubre","nan","LINESTRING (-77.0330202 -11.909642, -77.0325972 -11.9089286)"
"6016","residential","nan","nan","Avenida Federico Villa Real","nan","LINESTRING (-77.0334326 -11.9098617, -77.0335554 -11.9096518)"
"6017","residential","nan","nan","Calle 9 de Octubre","nan","LINESTRING (-77.0334326 -11.9098617, -77.0330202 -11.909642)"
"6018","residential","nan","nan","Pasaje 12 de Octubre","nan","LINESTRING (-77.0317505 -11.9109209, -77.0312382 -11.9114946)"
"6019","residential","nan","nan","Pasaje 30 de Agosto","nan","LINESTRING (-77.0319217 -11.91107, -77.0317505 -11.9109209)"
"602","residential","nan","nan","nan","nan","LINESTRING (-77.0418669 -11.9123463, -77.0423352 -11.9122565)"
"6020","residential","nan","nan","Avenida Federico Villa Real","nan","LINESTRING (-77.0327448 -11.9110375, -77.0331963 -11.9102656)"
"6021","residential","nan","nan","Pasaje 9 de Octubre","nan","LINESTRING (-77.0320364 -11.9111681, -77.0314948 -11.9117305)"
"6022","residential","nan","nan","Pasaje 30 de Agosto","nan","LINESTRING (-77.0320364 -11.9111681, -77.0319217 -11.91107)"
"6023","residential","nan","nan","Avenida Santa Cruz","nan","LINESTRING (-77.032321 -11.9114113, -77.0325493 -11.9112246)"
"6024","residential","nan","nan","Pasaje 30 de Agosto","nan","LINESTRING (-77.032321 -11.9114113, -77.0320364 -11.9111681)"
"6025","residential","nan","nan","San Martin","nan","LINESTRING (-77.0312382 -11.9114946, -77.0314439 -11.9116837)"
"6026","residential","nan","nan","Pasaje 12 de Octubre","nan","LINESTRING (-77.0312382 -11.9114946, -77.030585 -11.9122356)"
"6027","residential","nan","nan","San Martin","nan","LINESTRING (-77.0314439 -11.9116837, -77.0314948 -11.9117305)"
"6028","residential","nan","nan","nan","nan","LINESTRING (-77.0314439 -11.9116837, -77.0313077 -11.9118286)"
"6029","residential","nan","nan","San Martin","nan","LINESTRING (-77.0314948 -11.9117305, -77.0317591 -11.9119734)"
"603","residential","nan","nan","Calle Los Topacios","nan","LINESTRING (-77.0605005 -11.960445, -77.0599515 -11.9589145)"
"6030","residential","nan","nan","nan","nan","LINESTRING (-77.0313077 -11.9118286, -77.0310636 -11.9120901)"
"6031","residential","nan","nan","Avenida Santa Cruz","nan","LINESTRING (-77.0317591 -11.9119734, -77.032321 -11.9114113)"
"6032","residential","nan","nan","nan","nan","LINESTRING (-77.0310636 -11.9120901, -77.0308661 -11.912355)"
"6033","residential","nan","nan","Avenida Santa Cruz","nan","LINESTRING (-77.0316272 -11.9121162, -77.0317591 -11.9119734)"
"6034","residential","nan","nan","Pasaje 7 de Junio","nan","LINESTRING (-77.0316272 -11.9121162, -77.0313077 -11.9118286)"
"6035","residential","nan","nan","Jirón Jose Carlos Mariátegui","nan","LINESTRING (-77.0329799 -11.9123225, -77.0325387 -11.9123388)"
"6036","residential","nan","nan","San Luis","nan","LINESTRING (-77.0329799 -11.9123225, -77.0329476 -11.9119834)"
"6037","residential","nan","nan","nan","nan","LINESTRING (-77.0308661 -11.912355, -77.0306616 -11.9126245)"
"6038","residential","nan","nan","Avenida Santa Cruz","nan","LINESTRING (-77.0313852 -11.9123787, -77.0316272 -11.9121162)"
"6039","residential","nan","nan","nan","nan","LINESTRING (-77.0313852 -11.9123787, -77.0310636 -11.9120901)"
"604","residential","nan","nan","nan","nan","LINESTRING (-77.0563816 -11.932559, -77.0555472 -11.9330151)"
"6040","residential","nan","nan","Pasaje Paracas","nan","LINESTRING (-77.0293408 -11.9125761, -77.0291122 -11.9131739)"
"6041","residential","nan","nan","Jirón Chasquis","nan","LINESTRING (-77.0293408 -11.9125761, -77.0289346 -11.9123952)"
"6042","residential","nan","nan","Avenida Santa Cruz","nan","LINESTRING (-77.0311603 -11.9126219, -77.0313852 -11.9123787)"
"6043","residential","nan","nan","Los Libertadores","nan","LINESTRING (-77.0311603 -11.9126219, -77.0308661 -11.912355)"
"6044","residential","nan","nan","nan","nan","LINESTRING (-77.0306616 -11.9126245, -77.0302473 -11.9127145)"
"6045","residential","nan","nan","nan","nan","LINESTRING (-77.0302473 -11.9127145, -77.0297164 -11.9126566)"
"6046","residential","nan","nan","Avenida Santa Cruz","nan","LINESTRING (-77.0309336 -11.9128682, -77.0311603 -11.9126219)"
"6047","residential","nan","nan","Pasaje San Martin","nan","LINESTRING (-77.0309336 -11.9128682, -77.0306616 -11.9126245)"
"6048","residential","nan","nan","['San Juan Bautista', 'Pasaje 7 de Junio']","nan","LINESTRING (-77.0320542 -11.9129787, -77.0316272 -11.9121162)"
"6049","residential","nan","nan","Pasaje San Martin","nan","LINESTRING (-77.0320542 -11.9129787, -77.0309336 -11.9128682)"
"605","residential","nan","nan","Calle 21","nan","LINESTRING (-77.0550143 -11.9266235, -77.0548924 -11.9266883)"
"6050","residential","nan","nan","Avenida Santa Cruz","nan","LINESTRING (-77.0306992 -11.9131222, -77.0309336 -11.9128682)"
"6051","residential","nan","nan","Pasaje 3 de Octubre","nan","LINESTRING (-77.0306992 -11.9131222, -77.0302473 -11.9127145)"
"6052","residential","nan","nan","Avenida Luis Sanches Cerro","nan","LINESTRING (-77.0343335 -11.9133457, -77.034285 -11.9129642)"
"6053","residential","nan","nan","Avenida Luis Sanches Cerro","nan","LINESTRING (-77.0343335 -11.9133457, -77.0343915 -11.9140875)"
"6054","residential","nan","nan","Avenida Luis Sanches Cerro","nan","LINESTRING (-77.0343345 -11.9134084, -77.0343335 -11.9133457)"
"6055","residential","nan","nan","Andres Avelino Caceres","nan","LINESTRING (-77.0343345 -11.9134084, -77.0334593 -11.9134274)"
"6056","residential","nan","nan","Andres Avelino Caceres","nan","LINESTRING (-77.0334593 -11.9134274, -77.0330234 -11.9134368)"
"6057","residential","nan","nan","['Jirón Jose Carlos Mariátegui', 'Santa Rosa']","nan","LINESTRING (-77.0334593 -11.9134274, -77.0329799 -11.9123225)"
"6058","residential","nan","nan","San Luis","nan","LINESTRING (-77.0330234 -11.9134368, -77.0329799 -11.9123225)"
"6059","residential","nan","nan","Andres Avelino Caceres","nan","LINESTRING (-77.0330234 -11.9134368, -77.0325381 -11.9134473)"
"606","secondary","2","35","Avenida El Retablo","yes","LINESTRING (-77.0550143 -11.9266235, -77.0559391 -11.9284154)"
"6060","residential","nan","nan","Andres Avelino Caceres","nan","LINESTRING (-77.0325381 -11.9134473, -77.0320636 -11.9134575)"
"6061","residential","nan","nan","Avenida San Martin de Porres","nan","LINESTRING (-77.0325381 -11.9134473, -77.0325387 -11.9123388)"
"6062","residential","nan","nan","San Juan Bautista","nan","LINESTRING (-77.0320636 -11.9134575, -77.0320542 -11.9129787)"
"6063","residential","nan","nan","Andres Avelino Caceres","nan","LINESTRING (-77.0320636 -11.9134575, -77.030376 -11.913494)"
"6064","residential","nan","nan","Jirón Cesar Vallejo","nan","LINESTRING (-77.0282489 -11.9134794, -77.0272656 -11.9132628)"
"6065","residential","nan","nan","Pasaje Jose Olaya","nan","LINESTRING (-77.0282489 -11.9134794, -77.0280657 -11.9139988)"
"6066","residential","nan","nan","Avenida Santa Cruz","nan","LINESTRING (-77.030376 -11.913494, -77.0306992 -11.9131222)"
"6067","residential","nan","nan","Andres Avelino Caceres","nan","LINESTRING (-77.0343397 -11.913533, -77.0338829 -11.9135423)"
"6068","residential","nan","nan","Avenida Luis Sanches Cerro","nan","LINESTRING (-77.0343397 -11.913533, -77.0343345 -11.9134084)"
"6069","residential","nan","nan","Andres Avelino Caceres","nan","LINESTRING (-77.0338829 -11.9135423, -77.0325396 -11.9135695)"
"607","tertiary","nan","40","Avenida Victor Andres Belaunde Oeste","no","LINESTRING (-77.0529315 -11.9377795, -77.0526151 -11.9381407)"
"6070","residential","nan","nan","Andres Avelino Caceres","nan","LINESTRING (-77.0325396 -11.9135695, -77.0316301 -11.9135879)"
"6071","residential","nan","nan","Avenida San Martin de Porres","nan","LINESTRING (-77.0325396 -11.9135695, -77.0325381 -11.9134473)"
"6072","residential","nan","nan","Avenida Santa Cruz","nan","LINESTRING (-77.0303147 -11.9136145, -77.030376 -11.913494)"
"6073","residential","nan","nan","Jirón Huascaran","nan","LINESTRING (-77.0316301 -11.9135879, -77.0316385 -11.9140298)"
"6074","residential","nan","nan","Andres Avelino Caceres","nan","LINESTRING (-77.0316301 -11.9135879, -77.0303147 -11.9136145)"
"6075","residential","nan","nan","Jirón Ancash","nan","LINESTRING (-77.0267083 -11.9137897, -77.0266074 -11.9142508)"
"6076","secondary","2","50","Avenida Revolución","yes","LINESTRING (-77.0267083 -11.9137897, -77.0264301 -11.9137304)"
"6077","residential","nan","nan","Jirón Jose Santos Chocano","nan","LINESTRING (-77.0248893 -11.9138767, -77.0256981 -11.9140583)"
"6078","residential","nan","nan","Jirón Hipolito Unanue","nan","LINESTRING (-77.0248893 -11.9138767, -77.0250214 -11.9134211)"
"6079","residential","nan","nan","Jirón Daniel Alcides Carrion","nan","LINESTRING (-77.0338931 -11.9139875, -77.0338829 -11.9135423)"
"608","residential","nan","nan","Enrique Pallardelle","nan","LINESTRING (-77.0529315 -11.9377795, -77.0526019 -11.9374766)"
"6080","residential","nan","nan","Jirón Jose Galvez","nan","LINESTRING (-77.0334463 -11.9139959, -77.0338931 -11.9139875)"
"6081","residential","nan","nan","Jirón Jose Galvez","nan","LINESTRING (-77.033004 -11.9140042, -77.0334463 -11.9139959)"
"6082","residential","nan","nan","Avenida San Martin de Porres","nan","LINESTRING (-77.032545 -11.9140129, -77.0325396 -11.9135695)"
"6083","residential","nan","nan","Jirón Jose Galvez","nan","LINESTRING (-77.032545 -11.9140129, -77.033004 -11.9140042)"
"6084","residential","nan","nan","La Mar","nan","LINESTRING (-77.0320823 -11.9140216, -77.0320853 -11.9143039)"
"6085","residential","nan","nan","Jirón Jose Galvez","nan","LINESTRING (-77.0320823 -11.9140216, -77.032545 -11.9140129)"
"6086","residential","nan","nan","Jirón Huascaran","nan","LINESTRING (-77.0316385 -11.9140298, -77.0316439 -11.9143104)"
"6087","residential","nan","nan","Jirón Jose Galvez","nan","LINESTRING (-77.0316385 -11.9140298, -77.0320823 -11.9140216)"
"6088","residential","nan","nan","Jirón Jose Galvez","nan","LINESTRING (-77.0312059 -11.9140381, -77.0316385 -11.9140298)"
"6089","residential","nan","nan","Arica","nan","LINESTRING (-77.0312059 -11.9140381, -77.0312249 -11.9150539)"
"609","residential","nan","nan","Jirón Carlos Moore","nan","LINESTRING (-77.0403123 -11.9183894, -77.0394014 -11.918543)"
"6090","residential","nan","nan","Tarapaca","nan","LINESTRING (-77.03077 -11.9140463, -77.0307811 -11.9150584)"
"6091","residential","nan","nan","Jirón Jose Galvez","nan","LINESTRING (-77.03077 -11.9140463, -77.0312059 -11.9140381)"
"6092","residential","nan","nan","Jirón Jose Galvez","nan","LINESTRING (-77.0303305 -11.9140546, -77.03077 -11.9140463)"
"6093","residential","nan","nan","Santa Cruz","nan","LINESTRING (-77.0303305 -11.9140546, -77.0303147 -11.9136145)"
"6094","residential","nan","nan","Jirón Mariscal Caceres","nan","LINESTRING (-77.0343478 -11.9140905, -77.0343915 -11.9140875)"
"6095","residential","nan","nan","Avenida Luis Sanches Cerro","nan","LINESTRING (-77.0343478 -11.9140905, -77.0343397 -11.913533)"
"6096","residential","nan","nan","Jirón Ancash","nan","LINESTRING (-77.0266074 -11.9142508, -77.0264805 -11.914731)"
"6097","residential","nan","nan","Jirón Jose Santos Chocano","nan","LINESTRING (-77.0266074 -11.9142508, -77.0288882 -11.9147736)"
"6098","residential","nan","nan","Jirón Miguel Iglesias","nan","LINESTRING (-77.0334534 -11.9142602, -77.0334463 -11.9139959)"
"6099","residential","nan","nan","Jose Galvez","nan","LINESTRING (-77.0330113 -11.91427, -77.0334534 -11.9142602)"
"61","secondary","2","40","Avenida Carabayllo","yes","LINESTRING (-77.0560273 -11.9508262, -77.056062 -11.9509214)"
"610","living_street","nan","nan","Calle 20","nan","LINESTRING (-77.0403123 -11.9183894, -77.040348 -11.9186587)"
"6100","residential","nan","nan","Calle Tingo María","nan","LINESTRING (-77.0330113 -11.91427, -77.033004 -11.9140042)"
"6101","secondary","2","50","Avenida Revolución","yes","LINESTRING (-77.0291637 -11.9143429, -77.0280374 -11.914082)"
"6102","tertiary","nan","40","Avenida Julio Cesar Tello","yes","LINESTRING (-77.0291637 -11.9143429, -77.0292039 -11.9142734)"
"6103","residential","nan","nan","Santa Cruz","nan","LINESTRING (-77.0303334 -11.9143398, -77.0303305 -11.9140546)"
"6104","residential","nan","nan","['Jirón Puro', 'Jirón Cesar Vallejo']","nan","LINESTRING (-77.0303334 -11.9143398, -77.0282489 -11.9134794)"
"6105","tertiary","nan","40","Avenida Julio Cesar Tello","yes","LINESTRING (-77.0292717 -11.9143741, -77.0290451 -11.9147566)"
"6106","secondary","2","50","Avenida Revolución","yes","LINESTRING (-77.0292717 -11.9143741, -77.0291637 -11.9143429)"
"6107","residential","nan","nan","Avenida Luis Sanches Cerro","nan","LINESTRING (-77.0343604 -11.9145282, -77.0343478 -11.9140905)"
"6108","residential","nan","nan","Jirón Mariscal Caceres","nan","LINESTRING (-77.0361609 -11.91458, -77.0381486 -11.9168061)"
"6109","residential","nan","nan","Jirón Ancash","nan","LINESTRING (-77.0264805 -11.914731, -77.0264552 -11.9148137)"
"611","secondary","2","35","Avenida El Retablo","yes","LINESTRING (-77.0541512 -11.9218774, -77.0542719 -11.9225342)"
"6110","tertiary","2","40","Avenida Santa Rosa","yes","LINESTRING (-77.0264805 -11.914731, -77.0274057 -11.9149394)"
"6111","residential","nan","nan","Loreto","nan","LINESTRING (-77.0290451 -11.9147566, -77.0300314 -11.9153538)"
"6112","tertiary","nan","40","Avenida Julio Cesar Tello","yes","LINESTRING (-77.0290451 -11.9147566, -77.0288049 -11.9151694)"
"6113","tertiary","nan","40","Avenida Julio Cesar Tello","yes","LINESTRING (-77.0288882 -11.9147736, -77.0291637 -11.9143429)"
"6114","residential","nan","nan","Jirón Ancash","nan","LINESTRING (-77.0264552 -11.9148137, -77.0263162 -11.9152789)"
"6115","tertiary","2","40","Avenida Santa Rosa","yes","LINESTRING (-77.0264552 -11.9148137, -77.025567 -11.9146118)"
"6116","secondary","2","50","Avenida Revolución","yes","LINESTRING (-77.0302915 -11.9149032, -77.0307811 -11.9150584)"
"6117","residential","nan","nan","Santa Cruz","nan","LINESTRING (-77.0302915 -11.9149032, -77.0303334 -11.9143398)"
"6118","residential","nan","nan","Jirón Arnaldo Marquez","nan","LINESTRING (-77.0246215 -11.91489, -77.0254557 -11.9150813)"
"6119","residential","nan","nan","Jirón Hipolito Unanue","nan","LINESTRING (-77.0246215 -11.91489, -77.0247445 -11.9144248)"
"612","residential","nan","nan","Los Claveles","nan","LINESTRING (-77.0420322 -11.9130752, -77.0415818 -11.9131569)"
